run_label,target,params_short,params_json,status
grid_017,top10,average_before_softmax-True__balance_probabilities-True__n_estimators-4__softmax_temperature-1.4,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 1.4}",cache_hit
grid_018,top10,average_before_softmax-True__balance_probabilities-False__n_estimators-4__softmax_temperature-1.4,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 1.4}",cache_hit
grid_019,top10,average_before_softmax-False__balance_probabilities-True__n_estimators-4__softmax_temperature-1.4,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 4, ""softmax_temperature"": 1.4}",cache_hit
grid_020,top10,average_before_softmax-False__balance_probabilities-False__n_estimators-4__softmax_temperature-1.4,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 4, ""softmax_temperature"": 1.4}",cache_hit
grid_021,top10,average_before_softmax-True__balance_probabilities-True__n_estimators-8__softmax_temperature-0.6,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 0.6}",cache_hit
grid_022,top10,average_before_softmax-True__balance_probabilities-False__n_estimators-8__softmax_temperature-0.6,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 0.6}",cache_hit
grid_023,top10,average_before_softmax-False__balance_probabilities-True__n_estimators-8__softmax_temperature-0.6,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 0.6}",cache_hit
grid_024,top10,average_before_softmax-False__balance_probabilities-False__n_estimators-8__softmax_temperature-0.6,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 0.6}",cache_hit
grid_025,top10,average_before_softmax-True__balance_probabilities-True__n_estimators-8__softmax_temperature-0.8,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 0.8}",cache_hit
grid_026,top10,average_before_softmax-True__balance_probabilities-False__n_estimators-8__softmax_temperature-0.8,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 0.8}",cache_hit
grid_027,top10,average_before_softmax-False__balance_probabilities-True__n_estimators-8__softmax_temperature-0.8,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 0.8}",cache_hit
grid_028,top10,average_before_softmax-False__balance_probabilities-False__n_estimators-8__softmax_temperature-0.8,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 0.8}",cache_hit
grid_029,top10,average_before_softmax-True__balance_probabilities-True__n_estimators-8__softmax_temperature-1.0,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 1.0}",cache_hit
grid_030,top10,average_before_softmax-True__balance_probabilities-False__n_estimators-8__softmax_temperature-1.0,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 1.0}",cache_hit
grid_031,top10,average_before_softmax-False__balance_probabilities-True__n_estimators-8__softmax_temperature-1.0,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 1.0}",cache_hit
grid_032,top10,average_before_softmax-False__balance_probabilities-False__n_estimators-8__softmax_temperature-1.0,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 1.0}",cache_hit
grid_033,top10,average_before_softmax-True__balance_probabilities-True__n_estimators-8__softmax_temperature-1.2,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 1.2}",cache_hit
grid_034,top10,average_before_softmax-True__balance_probabilities-False__n_estimators-8__softmax_temperature-1.2,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 1.2}",cache_hit
grid_035,top10,average_before_softmax-False__balance_probabilities-True__n_estimators-8__softmax_temperature-1.2,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 1.2}",cache_hit
grid_036,top10,average_before_softmax-False__balance_probabilities-False__n_estimators-8__softmax_temperature-1.2,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 1.2}",cache_hit
grid_037,top10,average_before_softmax-True__balance_probabilities-True__n_estimators-8__softmax_temperature-1.4,"{""average_before_softmax"": true, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 1.4}",cache_hit
grid_038,top10,average_before_softmax-True__balance_probabilities-False__n_estimators-8__softmax_temperature-1.4,"{""average_before_softmax"": true, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 1.4}",cache_hit
grid_039,top10,average_before_softmax-False__balance_probabilities-True__n_estimators-8__softmax_temperature-1.4,"{""average_before_softmax"": false, ""balance_probabilities"": true, ""n_estimators"": 8, ""softmax_temperature"": 1.4}",cache_hit
grid_040,top10,average_before_softmax-False__balance_probabilities-False__n_estimators-8__softmax_temperature-1.4,"{""average_before_softmax"": false, ""balance_probabilities"": false, ""n_estimators"": 8, ""softmax_temperature"": 1.4}",cache_hit
