variant_name,scope,evaluation_name,target,threshold,threshold_source,actual_label,predicted_label,count
thinking_medium_roc_auc,overall,top10_native_0_5,top10,0.5,native_0_5,1,1,569
thinking_medium_roc_auc,overall,top20_native_0_5,top20,0.5,native_0_5,0,0,12955
thinking_medium_roc_auc,overall,top20_native_0_5,top20,0.5,native_0_5,0,1,2642
thinking_medium_roc_auc,overall,top20_native_0_5,top20,0.5,native_0_5,1,0,1056
thinking_medium_roc_auc,overall,top20_native_0_5,top20,0.5,native_0_5,1,1,1149
thinking_medium_roc_auc,overall,frank_hall_top10_native_0_5,top10,0.5,native_0_5,0,0,7377
thinking_medium_roc_auc,overall,frank_hall_top10_native_0_5,top10,0.5,native_0_5,0,1,9321
thinking_medium_roc_auc,overall,frank_hall_top10_native_0_5,top10,0.5,native_0_5,1,0,126
thinking_medium_roc_auc,overall,frank_hall_top10_native_0_5,top10,0.5,native_0_5,1,1,978
thinking_medium_roc_auc,overall,frank_hall_top10_validated_threshold,top10,2.1,optimized_valid_2023_f1,0,0,15743
thinking_medium_roc_auc,overall,frank_hall_top10_validated_threshold,top10,2.1,optimized_valid_2023_f1,0,1,955
thinking_medium_roc_auc,overall,frank_hall_top10_validated_threshold,top10,2.1,optimized_valid_2023_f1,1,0,769
thinking_medium_roc_auc,overall,frank_hall_top10_validated_threshold,top10,2.1,optimized_valid_2023_f1,1,1,335
thinking_medium_roc_auc,year_2024,top5_native_0_5,top5,0.5,native_0_5,0,0,7609
thinking_medium_roc_auc,year_2024,top5_native_0_5,top5,0.5,native_0_5,0,1,1040
thinking_medium_roc_auc,year_2024,top5_native_0_5,top5,0.5,native_0_5,1,0,135
thinking_medium_roc_auc,year_2024,top5_native_0_5,top5,0.5,native_0_5,1,1,149
thinking_medium_roc_auc,year_2024,top10_native_0_5,top10,0.5,native_0_5,0,0,7143
thinking_medium_roc_auc,year_2024,top10_native_0_5,top10,0.5,native_0_5,0,1,1223
thinking_medium_roc_auc,year_2024,top10_native_0_5,top10,0.5,native_0_5,1,0,269
thinking_medium_roc_auc,year_2024,top10_native_0_5,top10,0.5,native_0_5,1,1,298
thinking_medium_roc_auc,year_2024,top20_native_0_5,top20,0.5,native_0_5,0,0,6474
thinking_medium_roc_auc,year_2024,top20_native_0_5,top20,0.5,native_0_5,0,1,1324
thinking_medium_roc_auc,year_2024,top20_native_0_5,top20,0.5,native_0_5,1,0,544
thinking_medium_roc_auc,year_2024,top20_native_0_5,top20,0.5,native_0_5,1,1,591
thinking_medium_roc_auc,year_2024,frank_hall_top10_native_0_5,top10,0.5,native_0_5,0,0,3638
thinking_medium_roc_auc,year_2024,frank_hall_top10_native_0_5,top10,0.5,native_0_5,0,1,4728
thinking_medium_roc_auc,year_2024,frank_hall_top10_native_0_5,top10,0.5,native_0_5,1,0,65
thinking_medium_roc_auc,year_2024,frank_hall_top10_native_0_5,top10,0.5,native_0_5,1,1,502
thinking_medium_roc_auc,year_2024,frank_hall_top10_validated_threshold,top10,2.1,optimized_valid_2023_f1,0,0,7872
thinking_medium_roc_auc,year_2024,frank_hall_top10_validated_threshold,top10,2.1,optimized_valid_2023_f1,0,1,494
thinking_medium_roc_auc,year_2024,frank_hall_top10_validated_threshold,top10,2.1,optimized_valid_2023_f1,1,0,389
thinking_medium_roc_auc,year_2024,frank_hall_top10_validated_threshold,top10,2.1,optimized_valid_2023_f1,1,1,178
thinking_medium_roc_auc,year_2025,top5_native_0_5,top5,0.5,native_0_5,0,0,7525
thinking_medium_roc_auc,year_2025,top5_native_0_5,top5,0.5,native_0_5,0,1,1072
thinking_medium_roc_auc,year_2025,top5_native_0_5,top5,0.5,native_0_5,1,0,124
thinking_medium_roc_auc,year_2025,top5_native_0_5,top5,0.5,native_0_5,1,1,148
thinking_medium_roc_auc,year_2025,top10_native_0_5,top10,0.5,native_0_5,0,0,7159
thinking_medium_roc_auc,year_2025,top10_native_0_5,top10,0.5,native_0_5,0,1,1173
thinking_medium_roc_auc,year_2025,top10_native_0_5,top10,0.5,native_0_5,1,0,266
thinking_medium_roc_auc,year_2025,top10_native_0_5,top10,0.5,native_0_5,1,1,271
thinking_medium_roc_auc,year_2025,top20_native_0_5,top20,0.5,native_0_5,0,0,6481
thinking_medium_roc_auc,year_2025,top20_native_0_5,top20,0.5,native_0_5,0,1,1318
thinking_medium_roc_auc,year_2025,top20_native_0_5,top20,0.5,native_0_5,1,0,512
thinking_medium_roc_auc,year_2025,top20_native_0_5,top20,0.5,native_0_5,1,1,558
thinking_medium_roc_auc,year_2025,frank_hall_top10_native_0_5,top10,0.5,native_0_5,0,0,3739
thinking_medium_roc_auc,year_2025,frank_hall_top10_native_0_5,top10,0.5,native_0_5,0,1,4593
thinking_medium_roc_auc,year_2025,frank_hall_top10_native_0_5,top10,0.5,native_0_5,1,0,61
thinking_medium_roc_auc,year_2025,frank_hall_top10_native_0_5,top10,0.5,native_0_5,1,1,476
thinking_medium_roc_auc,year_2025,frank_hall_top10_validated_threshold,top10,2.1,optimized_valid_2023_f1,0,0,7871
thinking_medium_roc_auc,year_2025,frank_hall_top10_validated_threshold,top10,2.1,optimized_valid_2023_f1,0,1,461
thinking_medium_roc_auc,year_2025,frank_hall_top10_validated_threshold,top10,2.1,optimized_valid_2023_f1,1,0,380
thinking_medium_roc_auc,year_2025,frank_hall_top10_validated_threshold,top10,2.1,optimized_valid_2023_f1,1,1,157
